the              : 265364: определенный артикль
be               : 216236: быть, нужно, будь
and              : 164059: и
of               : 123410: показывает принадлежность
a                : 118190: неопределённый артикль
to               : 117665: к, по направлению, указывает на инфинитив глагола
ruin             :    526: разрушать, крах
attack           :    525: атаковать, атака, нападение
putt             :    525: легкий, удар
bottle           :    523: разливать по бутылкам, бутылка
frighten         :    523: пугать
servant          :    523: слуга
flash            :    522: высвечивать, вспышка
immediate        :    522: безотлагательный, непосредственный
bound            :    521: связывать, граничить, граница, прыжок, связанный
single           :    521: единственный
concern          :    520: беспокоиться, касаться, заниматься, беспокойство, концерн
afterward        :    519: впоследствии
rule             :    519: управлять, правило
snap             :    517: ломать, щелкать, щелчок, мгновенный
bell             :    516: сигнал, колокол
sweep            :    516: подметать, инф)развертывать, развертка
control          :    515: управлять, управление, управляющий
passage          :    515: проход, проезд
square           :    515: квадрат, квадратный
tire             :    515: уставать, шина
cup              :    514: чашка
fix              :    514: устанавливать, фиксировать, ремонтировать, исправление
fresh            :    514: свежий
huge             :    514: огромный
aside            :    512: в сторону
rich             :    512: богатый
tight            :    512: плотный
bridge           :    511: соединять мостом, мост, бридж
flat             :    511: квартира, плоский
madam            :    511: мадам
song             :    511: песня
swing            :    511: качать, качание, перепад
clean            :    510: чистить, чистый, проверенный, как следует
pack             :    510: упаковывать, заполнять, упаковка
coat             :    509: покрывать, пальто
conversation     :    507: разговор
couple           :    507: соединять, пара
afternoon        :    505: полдень
asleep           :    505: спящий
burst            :    505: лопаться, взрываться, взрыв
ball             :    503: шар, шаровой
castle           :    502: замок
church           :    500: церковь, церковный
address          :    499: адресовать, обращаться, адрес
entire           :    499: целый
unless           :    493: если
occasion         :    492: случай
knowledge        :    491: знание
rat              :    491: крыса, крысиный
fail             :    490: терпеть неудачу
steal            :    490: красть, захватывать
pair             :    489: спаривать, пара
rain             :    489: лить, дождь
throat           :    489: горло
calm             :    488: успокаивать, спокойствие, тихий
message          :    488: сообщение, послание
court            :    487: юрид)выигрывать, суд, судебный
creep            :    486: ползать
self             :    486: собственная личность, сам, сам, лично
swift            :    486: быстрый
character        :    484: символ, характер, символьный, характерный
companion        :    484: компаньон, побочный
remark           :    484: замечать, замечание
desire           :    482: хотеть, желание
prepare          :    482: подготавливать, готовиться
wheel            :    482: колесо
public           :    481: публика, общественный
vast             :    479: обширный
wound            :    479: ранить, рана
bottom           :    478: вникать, низ, нижний
mighty           :    478: могущественный
serious          :    478: серьезный
forth            :    477: далее
wonderful        :    477: замечательно, замечательный
charge           :    476: заряжать, экон)предлагать, брать, плата, заряд
roar             :    475: реветь, рев
awake            :    474: будить
corridor         :    474: коридор
record           :    474: записывать, запись, рекорд, рекордный
tiny             :    474: небольшой
gun              :    473: пушка, ружье
moody            :    473: капризный
police           :    473: полиция, полицейский
pound            :    473: колотить, фунт, фунтовый
experience       :    471: получать, испытывать, опыт
prove            :    471: доказывать
scar             :    471: шрам
wander           :    471: бродить
check            :    470: проверять, чек, контрольный
seize            :    470: захватывать
cool             :    469: охлаждать, холодный
nanny            :    468: няня
tonight          :    468: сегодня вечером
beg              :    467: просить
twice            :    467: дважды
bless            :    466: благословлять
drag             :    466: тащить, помеха
group            :    466: группировать, группа, групповой
proper           :    466: соответствующий
curse            :    465: проклинать, проклятие
susan            :    463: сюзан
cave             :    462: пещера
proud            :    462: гордый
race             :    462: состязаться, гонка, раса, расовый
charm            :    461: очаровывать, очаровательный, обаяние, прелесть
lake             :    461: озеро
blind            :    459: слепить, штора, слепой
class            :    459: класс
struggle         :    459: бороться, борьба
danger           :    458: опасность, опасный
double           :    458: удваивать, двойное количество, двойной, вдвойне
nervous          :    458: нервный
normal           :    457: нормально, нормальный
spread           :    457: распространять, простираться, распространение, распростертый
delight          :    456: приводить в восторг, восхищение
disappear        :    456: исчезать
scene            :    456: сцена, инф)изображение
cast             :    455: бросать, слепок
flame            :    455: пламя
obvious          :    455: очевидный
saint            :    455: святой
station          :    455: станция
position         :    454: позиционировать, позиция
size             :    453: размер
kitchen          :    452: кухня, кухонный
duty             :    451: обязанность, пошлина
tongue           :    451: язык
branch           :    450: расширять, ветка, отрасль, отделение, отраслевой
entrance         :    450: вход, вступительный
express          :    448: выражать, экспресс, срочный, специальный
history          :    446: история, исторический
welcome          :    446: добро пожаловать
mist             :    445: туман
grin             :    444: ухмыляться, усмешка
vague            :    444: неопределенный
anxious          :    443: озабоченный
busy             :    443: занятый
fish             :    443: рыба, рыбный
husband          :    443: муж
robe             :    442: халат
board            :    441: совет, доска, инф)плата, транс)борт, на борту
skin             :    440: кожа, шкура, кожура
stir             :    440: шевелить
shop             :    439: делать покупки, магазин, мастерская
battle           :    438: бороться, борьба, битва
worth            :    438: стоящий
dare             :    437: осмеливаться
judge            :    437: судить, судья, эксперт
society          :    437: общество
terror           :    436: террор, ужас
track            :    436: прослеживать, дорожка
discover         :    434: обнаруживать
nine             :    434: девять, девяти
travel           :    434: путешествовать, перемещать, путешествие, перемещение
card             :    433: карта
twist            :    433: скручивать, искривление
chamber          :    432: палата, камера
chief            :    432: руководитель, главный
heaven           :    431: небо
therefore        :    431: следовательно
march            :    430: маршировать, марш, март, мартовский
unknown          :    430: неизвестный
slope            :    429: уклон
effort           :    428: усилие
utter            :    428: произносить, сплошной
desert           :    427: покидать, пустыня, необитаемый
glow             :    425: светиться, свечение, разряд
suggest          :    425: предлагать, советовать, предложенный
greater          :    423: больше, больший
pray             :    422: молить
apparent         :    420: очевидно, явный
hideous          :    420: уродливый
metal            :    420: мех)металл
music            :    420: музыка, ноты, музыкальный
village          :    420: деревня
dangerous        :    419: опасный
everybody        :    418: каждый
somehow          :    417: как-нибудь
gaz              :    416: газ, газовый
respect          :    416: уважать, отношение
rider            :    416: всадник
born             :    415: рождаться, рожденный
wine             :    415: вино
difficult        :    414: трудно, трудный
grab             :    414: захватывать, захват
stupid           :    414: глупый, тупой
tie              :    413: соединять, соединение, соединительный
fool             :    412: одурачивать, дурак
stranger         :    412: незнакомец, новичок, посторонний
flow             :    411: течь, происходить, поток
fold             :    411: складывать, свертывать, сгибать, складка, паства
recall           :    411: восстанавливать, учитывать, возврат, одуш)воспоминание
row              :    411: грести, колонка
shin             :    411: голень
echo             :    410: эхо
pour             :    410: лить
tomorrow         :    410: завтра
animal           :    409: животное
match            :    409: соответствовать, сочетаться, сопоставлять, спичка, инф)сопоставление, матч, партия
pile             :    409: кипа
brief            :    408: резюме, краткий
level            :    408: выравнивать, уровень
main             :    408: основа, основной
private          :    408: частный
paint            :    407: закрашивать, артс)изображать, краска, закрашивание
remove           :    407: удалять, удаление
attempt          :    406: пытаться, попытка
planet           :    406: астр)планета, планетарный
ward             :    406: отражать, опекаемый
writ             :    406: исполнительный, лист
command          :    405: приказывать, командовать, команда, командный
spy              :    405: шпионить, шпион, слежение, шпионский
although         :    404: хотя
chain            :    404: подключать, цепь, последовательность, цепной
quarter          :    404: четверть, квартал, четвертак
anybody          :    402: кто-нибудь
circumstance     :    402: обстоятельство
hiss             :    402: освистывать, шипеть
sad              :    402: печальный
aware            :    401: знающий
trace            :    400: прослеживать, след, трассировка, чуть-чуть
action           :    399: действие, иск
angel            :    399: ангел
fifty            :    399: пятьдесят, пятидесятый, пятидесяти
problem          :    399: проблема, проблемный
summer           :    399: лето, сумматор, летний
steady           :    398: устойчивый
detail           :    397: описывать, подробно, деталь, подробный
firm             :    397: фирма, твердый
halt             :    397: останавливать, останов
opinion          :    397: мнение
spell            :    397: писать по буквам
granny           :    396: бабушка
bill             :    395: выставлять счет, счет, купюра, законопроект, афиша, клюв, билл
especial         :    395: особенный
weak             :    395: слабый
page             :    394: страница, страничный
special          :    394: специальный
inch             :    393: дюйм, дюймовый
speech           :    393: речь, речевой
wash             :    393: мыть, стирка, примочка
gasp             :    392: задыхаться
task             :    392: задача, задание
boot             :    391: загружать, пинать, ботинок, багажник, инф)загрузка
candle           :    390: свеча
cheek            :    390: щека
extreme          :    390: предел, экстремальный
hell             :    390: ад
eight            :    388: восемь, восьми
hint             :    388: намек
necessary        :    388: необходимо, необходимый
term             :    388: характеризовать, срок, условие, термин
impossible       :    386: невозможно, невозможный
kick             :    386: бить, удар
reveal           :    386: показывать, обнаруживать
closer           :    385: ближе, ближний
movement         :    384: перемещение
presence         :    384: присутствие, наличие
suffer           :    384: страдать
beauty           :    383: красота
dreadful         :    383: ужасный
gleam            :    383: блестеть, проблеск
occur            :    383: происходить
rid              :    383: освобождать, избавлять
rough            :    383: грубый
broad            :    382: широкий
jane             :    381: джейн
pleasant         :    381: приятный
breast           :    380: грудь, грудной
post             :    380: посылать, пост, сообщение
rope             :    380: веревка
bone             :    379: кость, костный
evident          :    379: очевидный
parent           :    379: родитель, родительский
student          :    378: студент, студенческий
youth            :    376: молодость
future           :    375: будущее, будущий
trunk            :    375: шина
absolute         :    374: абсолютный
admit            :    373: допускать
lee              :    373: укрытие, подветренный
queer            :    373: необычный
thus             :    373: таким образом
wise             :    372: мудрый
excuse           :    371: извинять, извинение
carrot           :    370: морковь, морковный
comfort          :    370: успокаивать, удобство
surface          :    370: всплывать, поверхность, поверхностный
alarm            :    369: тревожить, тревога, аварийный
shine            :    369: сиять, лоск
shore            :    369: берег
tap              :    369: подключать, отвод
tip              :    369: откидывать, конец
weapon           :    369: оружие
belong           :    368: принадлежать
charles          :    368: чарльз
peace            :    368: мир, мирный
smooth           :    367: разглаживать, плавный, гладкий
dwell            :    366: задерживаться, останавливаться, задержка
enjoy            :    366: наслаждаться, любить
float            :    366: плавать, поплавок, инф)функция преобразования, переменный
lamp             :    366: лампа, фонарь, фонарный
occasional       :    366: случайный, редкий
peer             :    366: равняться, сверстник, равный
fad              :    365: поветрие
machine          :    365: машина, машинный
regard           :    365: считать, отношение
screen           :    365: отгораживать, экран, экранный
murmur           :    364: роптать, ропот
beard            :    363: борода
joe              :    363: джо
loose            :    363: освобождать, свободный
scrooge          :    363: скряга
fashion          :    361: изготавливать, способ
suit             :    361: подходить, иск, судебное дело, костюм
dozen            :    360: дюжина
flight           :    360: полет, рейс, полетный
officer          :    360: должностное, лицо, воен)офицер
dawn             :    359: рассветать, рассвет
crown            :    358: венчать, корона
various          :    358: различный
apart            :    357: отдельно
destroy          :    357: уничтожать
drift            :    357: дрейф, постепенный
information      :    357: информация, информационный
tail             :    357: выслеживать, плестись, хвост
chest            :    356: ящик, грудь, грудной
event            :    356: случай, инф)событие
familiar         :    356: знакомый, похожий
language         :    356: язык, языковой
weary            :    356: утомительный, усталый
personal         :    355: персональный
produce          :    355: производить, создавать, выдача
share            :    355: распространять, делить, акция, доля, акционерный
assure           :    354: гарантировать
desperate        :    353: отчаянно, отчаянный
appearance       :    352: появление, вид, внешность
dread            :    352: страшиться, страх, страшный
gentlemen        :    352: господа
thirty           :    352: тридцать, тридцати
crawl            :    351: ползать, кроль
guide            :    351: вести, руководство
weight           :    351: нагружать, весить, вес
awful            :    350: ужасный
contain          :    350: содержать, содержание
glimpse          :    350: проблеск
worst            :    350: наихудший
condition        :    349: оценивать, условие, состояние
library          :    349: библиотека, библиотечный
tunnel           :    349: прокладывать, туннель, туннельный
honour           :    348: выполнять, акцептовать, почитать, честь
opposite         :    348: напротив, противоположный
phone            :    348: звонить, телефон, телефонный
clutch           :    347: хватать, сцепление, фиксатор
fat              :    347: жир, жирный
million          :    347: миллион, миллионный
serve            :    347: обслуживать, подавать, воен)служить
century          :    346: столетие
comfortable      :    345: комфортабельный
examine          :    345: изучать, мед)обследовать, проверять, проверка
result           :    345: происходить, результат
shire            :    345: графство
percy            :    344: перси
avoid            :    342: избегать
disturb          :    342: мешать
plate            :    342: пластина, листовой
pretend          :    342: претендовать, притворяться
yell             :    342: кричать
bury             :    341: хоронить, прятать
cliff            :    341: скала
handle           :    341: оперировать, ручка
sell             :    341: продавать, продажа
accept           :    340: принимать, мириться
dig              :    340: копать
excite           :    340: возбуждать
horn             :    340: сигнал
rub              :    340: тереть
advance          :    339: предоставлять, продвигаться, аванс, авансовый
lad              :    339: парень
eager            :    338: энергичный, стремящийся
joy              :    338: радость
former           :    337: последний, формирователь, прежний
block            :    336: блокировать, блок, блочный
dull             :    336: тусклый
dan              :    335: дан
host             :    335: хозяин, главный
ice              :    335: замораживать, лед, ледяной
mirror           :    334: зеркало, зеркальный
remind           :    334: напоминать
visible          :    333: видимый
height           :    332: высота
difficulty       :    331: трудность
england          :    331: англия
english          :    331: английский, англо
fur              :    331: мех, меховой
powerful         :    331: мощный
twelve           :    331: двенадцать, двенадцати
dad              :    330: папа
owl              :    330: сова
plenty           :    329: много, обильный
slide            :    329: задвигать, скользить, скольжение, фото)слайд, движок
wooden           :    329: деревянный
mistake          :    328: ошибаться, ошибка
copy             :    327: копировать, копия, копирование
guest            :    327: гость
cloth            :    326: ткань
grim             :    326: жуткий
impression       :    326: впечатление
camp             :    325: располагаться лагерем, лагерь
hum              :    325: напевать, жужжать, жужжание, гул
sake             :    325: ради
magical          :    324: магический, волшебный
park             :    322: парковать, парк
robot            :    322: робот
shoe             :    322: башмак, обувной
damn             :    321: проклинать, ругательство
soldier          :    321: солдат, солдатский
forehead         :    320: лоб
taste            :    319: пробовать, вкус
choice           :    318: выбор
curtain          :    318: занавес
somebody         :    318: кто-то
doorway          :    317: вход
luck             :    317: удача
pipe             :    317: труба
treat            :    317: обращаться, мед)лечить, инф)обрабатывать, относиться, удовольствие
crash            :    316: разрушать, авария
staircase        :    316: лестница
storm            :    316: воен)штурмовать, шторм, воен)штурм, грозовой
bet              :    315: ставить, пари
connect          :    315: соединять, подключать
shriek           :    315: вопить, вопль
visitor          :    315: посетитель
claw             :    314: царапать, коготь
equal            :    314: равняться, равный
flee             :    314: избегать, убегать
aid              :    313: помогать, помощь, аппарат
carriage         :    313: перевозка, коляска, шасси
hunt             :    313: охотиться, искать, охота, поиск
otherwise        :    313: в противном случае, иначе
prisoner         :    313: заключенный
satisfy          :    313: удовлетворять
store            :    313: склад, хранилище, магазин, запас, хранить, сохранять
weather          :    313: погода
coffee           :    312: кофе
older            :    312: более старый
pity             :    312: жалость
yesterday        :    312: вчера
altogether       :    311: вместе
college          :    311: колледж, университетский
curl             :    311: крутить, вихрь
ministry         :    310: министерство
relief           :    310: облегчение, смена, помощь, пособие, артс)рельеф, рельефный
shirt            :    310: рубашка
shudder          :    310: содрогаться, вздрагивать, дрожь
content          :    309: удовлетворять, содержание, довольный
mystery          :    309: тайна
wet              :    309: мокрый
fortune          :    308: состояние, удача, судьба
monstrous        :    308: чудовищный
scarce           :    308: редкий
increase         :    307: увеличивать, возрастать, увеличение
rattle           :    307: трещать
describe         :    306: описывать
harm             :    306: вредить, вред
image            :    306: образ, изображение
sheet            :    306: лист, простыня, листовой
gap              :    304: промежуток, брешь
prison           :    304: тюрьма, тюремный
sail             :    304: плавать, парус, лодка, плавание
elder            :    303: старший
egg              :    302: яйцо
rate             :    302: оценивать, показатель, ставка, темп
authority        :    301: руководство, полномочие, источник
cheer            :    301: одобрять, возглас
engage           :    301: занимать
fudge            :    301: стряпня, надстроечный
higher           :    301: выше, более высокий
computer         :    300: компьютер, компьютерный
exist            :    300: существовать
file             :    300: инф)файл, файловый
sob              :    300: рыдать, рыдание
island           :    299: остров
precious         :    299: драгоценный
button           :    298: кнопка
howl             :    298: реветь, рев
member           :    298: член, инф)авто)элемент, воен)участник
cheerful         :    297: бодрый
steel            :    297: сталь, стальной
affair           :    296: дело, роман
blaze            :    296: гореть, сверкать, пламя
design           :    296: разрабатывать, воен)создавать, проект, разработка, проектый, расчетный
arrow            :    294: стрела, инф)стрелка
beam             :    294: луч, техн)бимс, лучевой
devil            :    294: дьявол
load             :    294: загружать, нагрузка, инф)загрузка
shiver           :    294: дрожать, дрожь
blast            :    293: взрывать, взрыв, порыв
brush            :    293: чистить, щетка
influence        :    292: влиять, влияние
suspect          :    292: подозревать, подозреваемый, подозрительный
anywhere         :    291: везде, нигде
determine        :    291: определять, определение
funny            :    291: странный
goblin           :    291: гном
murder           :    291: убивать, убийство
solid            :    291: твердое тело, твердый, прочный
bloody           :    290: кровавый
giant            :    290: гигант, гигантский
growl            :    290: рычать, рычание
rag              :    290: тряпка
sick             :    290: больной
spin             :    290: вращать, вращение
gain             :    289: приобретать, выигрывать, прирост, увеличение
lesson           :    289: раздел, урок
map              :    289: отображать, карта
opportunity      :    289: возможность
recognize        :    289: признавать, распознавать, осознавать
accord           :    288: согласовывать, согласие
marriage         :    288: брак, женитьба
colon            :    287: двоеточие
freeze           :    287: замораживать, замерзать, замораживание
hotel            :    287: отель
stumble          :    287: спотыкаться, запинаться
include          :    286: включать
midnight         :    286: полночь
refuse           :    286: отклонять, отказываться
fully            :    285: полностью
wipe             :    285: стирать, стирание
choke            :    284: душить, задыхаться, насос
glitter          :    284: блестеть, блеск
period           :    284: период, точка
feeling          :    283: чувствовать, чувство
grand            :    283: большой
system           :    283: система, системный
bitter           :    282: горький, жестоко
dye              :    282: красить, краска
forgive          :    282: прощать
motion           :    282: движение, перемещение, юрид)ходатайство
rep              :    282: реп, повтор
handsome         :    281: красивый
frown            :    280: хмурить
stage            :    280: этап, сцена, астр)ступень
type             :    280: набирать, тип
beast            :    279: зверь
bread            :    279: хлеб
excellent        :    279: отлично, отличный
ourself          :    279: мы сами, мы сами себя
patient          :    279: пациент, терпеливый
team             :    279: группа
trick            :    279: хитрость
difference       :    278: различие, отличие
kindle           :    278: разжигать
pursue           :    278: преследовать, проводить, заниматься
snake            :    278: змея, змеиный
blink            :    277: мигать, мигание
dick             :    277: дик
lone             :    277: одинокий
mount            :    277: устанавливать, взбираться, гора, крепление
security         :    277: безопасность
trail            :    277: след
whistle          :    277: свистеть, свист, свисток
fetch            :    276: выбирать, выборка
proceed          :    276: продолжать, приступать
bit              :    274: кусать, сцепляться, бит, кусочек, битовый
bob              :    274: стричь, рывок, поплавок, боб
cap              :    274: закрывать, колпачок
habit            :    274: привычка
convince         :    273: убеждать
feature          :    273: представлять, характеристика
fling            :    273: кидать, бросок
measure          :    273: измерять, мера
peak             :    273: пик, максимальный
fun              :    272: шутка, забавный
rear             :    272: сооружать, задняя, сторона, задний
bother           :    271: мешать, беспокойство
hate             :    271: ненавидеть, ненависть
operation        :    271: действие, инф)операция, управление
spare            :    271: беречь, щадить, жалеть, избавлять, запас, свободный
conscious        :    270: сознательный
happiness        :    270: счастье
support          :    270: поддерживать, поддержка
trip             :    270: поездка
constant         :    269: константа, постоянный
keen             :    269: острый, стремящийся
lightning        :    269: молния
strain           :    269: напрягать, напряжение
arrange          :    268: размещать
backward         :    268: назад, отсталый
clever           :    268: умный
lane             :    268: дорожка, тропинка, переулок, авто), полоса движения
teacher          :    268: учитель
vision           :    268: зрение, вид
claim            :    267: требовать, призываться, претензия, иск
laughter         :    267: смех
loss             :    267: убыток, потеря
noble            :    267: благородный
riddle           :    267: загадка
vain             :    267: напрасный
dart             :    265: вытачка, стрела
doom             :    265: обрекать, судьба, погибель
evidence         :    265: подтверждение
fierce           :    265: свирепый
involve          :    265: включать, связывать
king             :    265: король
pool             :    265: пул
thunder          :    265: греметь, гром
test             :    264: тестировать, тест
total            :    264: составлять, итог, общий
joke             :    263: шутить, шутка
peculiar         :    263: специфический, типичный
polite           :    263: вежливый
cease            :    262: прекращать
cruel            :    262: жестоко, жестокий
thoughtful       :    262: внимательный
definite         :    261: определенный
legend           :    261: легенда
sand             :    261: песок
blame            :    260: обвинять, вина
chin             :    260: подбородок
root             :    260: ботан)корень, корневой
engine           :    259: двигатель, машинный
hesitate         :    259: сомневаться
hungry           :    259: голодный
neat             :    259: хороший
pride            :    259: гордость
roger            :    259: роджер
trot             :    259: рысить, рысь
ignore           :    258: игнорировать
interrupt        :    258: прерывать, прерывание
original         :    258: подлинник, оригинальный, исходный
possess          :    258: обладать
stomach          :    258: желудок, желудочный
torch            :    258: факел, фонарь
whilst           :    258: пока
christmas        :    257: рождество, рождественнский
lucky            :    257: счастливый
nearest          :    257: ближайший
puzzle           :    257: озадачивать, задача
spider           :    257: паук, паучий
temple           :    257: висок, храм
upper            :    257: верхний
baby             :    256: младенец, детский
despite          :    256: несмотря на
scratch          :    256: царапать, царапина, временный
waste            :    256: тратить, отход, геол) пустая, порода
confidence       :    255: доверие, уверенность
nigger           :    255: негр
seal             :    255: заделывать, печать, тюлень
trap             :    255: перехватывать, ловушка, инф)прерывание
upstairs         :    255: наверх, наверху
curiosity        :    254: любопытство
require          :    254: требовать
bark             :    253: лаять, лай, кора
driver           :    253: водитель, инф)драйвер, драйверный
hasty            :    253: поспешный
innocent         :    253: невиновный
plant            :    253: устанавливать, завод, ботан)растение
treasure         :    253: сокровище, ценный
universe         :    253: вселенная, мир
william          :    253: вильям
alien            :    252: отчуждать, иностранец, чуждый
due              :    252: точно, подлежащий, должный
heel             :    252: каблук, пятка
inquire          :    252: запрашивать
moonlight        :    252: лунный, свет
attend           :    251: посещать
haunt            :    251: преследовать, обитать, призрак
steam            :    251: парить, пар
farther          :    250: далее
forbid           :    250: запрещать
mix              :    250: смешивать, смешивание, структура
print            :    250: печатать, издавать, отпечаток, инф)распечатка
quality          :    250: качество
armor            :    249: броня
colonel          :    249: полковник
diary            :    249: дневник
hollow           :    249: долбить, дупло, полый, пустой
intend           :    249: предполагать, собираться, предназначаться
region           :    249: регион, инф)область
swim             :    249: плавать, плавание, поплыть
upward           :    249: вверх
wrist            :    249: запястье, ручной
hood             :    248: капот, капюшон
prevent          :    248: предохранять, предотвращать, мешать, предотвращение
whenever         :    248: всякий раз, когда
wolf             :    248: волк
amount           :    247: составлять, сумма, объем
anger            :    247: гнев
descend          :    247: сходить
coach            :    246: тренировать, тренер, экипаж, вагон
credit           :    246: кредитовать, кредит, доверие, кредитный
invisible        :    246: невидимый
pant             :    246: задыхаться, вздох
patch            :    246: исправлять, корректор, воен)нашивка
sweat            :    246: потеть, пот
club             :    245: ударять, клуб
date             :    245: датировать, дата
excitement       :    245: возбуждение
heat             :    245: нагревать, тепло, жара
nerve            :    245: нерв, нервный
bay              :    244: ставить в безвыходное положение, бухта, залив, панель
emerge           :    244: возникать
everywhere       :    244: везде
fault            :    244: дефект, дефектный
fog              :    244: туман
separate         :    244: разделять, отдельный
stiff            :    244: негнущийся
truck            :    244: грузовик
exclaim          :    243: восклицать
flicker          :    243: мерцать, мерцание
miserable        :    243: несчастный, жалкий
staff            :    243: персонал
brave            :    242: смелый
crime            :    242: преступление
existence        :    242: существование
oblige           :    242: обязывать
thrust           :    242: толкать, тяга, толчок
wrap             :    242: завертывать
poison           :    241: отравлять, яд
swallow          :    241: поглощать, глотать, ласточка
delicate         :    240: деликатный, хрупкий
jaw              :    240: челюсть
meal             :    240: еда
mental           :    240: умственный
vault            :    240: перепрыгивать, хранилище, склеп
bedroom          :    239: спальня
current          :    239: течение, элек)ток, текущий, современный
frequent         :    239: частый, распространенный
summon           :    239: вызывать, созывать
cook             :    238: готовить, повар, кук, поваренный
pace             :    238: темп, шаг
scrap            :    238: выбрасывать, конфетти
color            :    237: окрашивать, цвет, цветной
gloom            :    237: мрак
okay             :    237: окей
source           :    237: источник, исходный
teach            :    237: учить
conceal          :    236: скрывать
department       :    236: отдел
instrument       :    236: инструмент, орудие, прибор, докм)документ
reflect          :    236: отражать
release          :    236: выпускать, выпуск, инф)версия
shade            :    236: затенять, оттенок, тень, экран
signal           :    236: сигнализировать, сигнал, сигнальный
suspicion        :    236: подозрение
amaze            :    235: изумлять
latter           :    235: последний
pardon           :    235: прощать, прощение
squeeze          :    235: сжимать
violent          :    235: сильный
bye              :    234: пока
considerable     :    234: значительный
energy           :    234: энергия, энергетический
exchange         :    234: заменять, замена, обменивать, биржа, биржевой, инф)обмен, комм)станция
furious          :    234: взбешенный
madness          :    234: безумец
material         :    234: материал, вещество, данные, факты, материальный
mysterious       :    234: загадочный
surround         :    234: окружать
unhappy          :    234: неудачный, несчастливый
being            :    233: быть, являться
gaze             :    233: глядеть, пристально
gradual          :    233: постепенный
honest           :    233: честный
mail             :    233: пересылать, почта
lodge            :    232: домик
resolve          :    232: решать
situation        :    232: ситуация
army             :    231: армия, армейский
correct          :    231: корректировать, правильно, правильный
heap             :    231: нагромождать, куча
immense          :    231: огромный
local            :    231: локальный
barnacle         :    230: прилипала
cling            :    230: цепляться
depth            :    230: глубина, глубинный
handkerchief     :    230: платок
rapid            :    230: быстрый
stroke           :    230: удар, штриховой
bang             :    229: ударять, удар
list             :    229: указывать, список
pan              :    229: промывать, инф)фото)панарамировать, сковорода, плавный
petunia          :    229: петуния
scatter          :    229: разбрасывать, разброс, фрагментированный
scramble         :    229: смешивать, бросаться, свалка
toss             :    229: подбрасывать, толчок
trade            :    229: торговать, торговля, торговый
traveller        :    229: путешественник, дорожный
adventure        :    228: рисковать, риск
clap             :    228: хлопать
impatient        :    228: нетерпеливый
regular          :    228: регулярный
retire           :    228: уходить в отставку
useful           :    228: полезный
belt             :    227: ремень, лента, ленточный
brick            :    227: кирпич, брусок, кирпичный
forty            :    227: сорок, сорока
guy              :    227: парень
intention        :    227: намерение, стремление
monkey           :    227: обезьяна
nasty            :    227: противный
provide          :    227: обеспечивать, предоставлять
assume           :    226: принимать
cigarette        :    226: сигарета, сигаретный
dollar           :    226: доллар
groan            :    226: стонать, стон
inform           :    226: сообщать, информировать
leader           :    226: лидер, начало
somewhat         :    226: отчасти
dirty            :    225: грязный
elbow            :    225: толкать, локоть
enormous         :    225: огромный
monster          :    225: чудовище
recent           :    225: последний
shelter          :    225: укрывать, защита
shift            :    225: перемещать, инф)сдвигать, перемещение, инф)сдвиг
stern            :    225: твердый
supper           :    225: ужин
aloud            :    224: громко, вслух
damp             :    224: демпфировать, торможение, влажный, сырой
degree           :    224: степень, градус, градусный
pink             :    224: розовый
relax            :    224: ослаблять, ослабевать, непринужденный
sooner           :    224: раньше, скорее
younger          :    224: младший
fan              :    223: раздувать, обмахивать, вентилятор, фанат
gas              :    223: газ, газовый
temper           :    223: характер, настроение
cousin           :    222: кузен
famous           :    222: знаменитый
leather          :    222: кожа, кожанный
recover          :    222: восстанавливать
regret           :    222: сожаление
satisfaction     :    222: удовлетворение
sergeant         :    222: сержант
smart            :    222: умный
uneasy           :    222: встревоженный
din              :    221: вдалбливать, грохот
fir              :    221: пихта, пихтовый
gesture          :    221: жест
previous         :    221: предшествующий
pure             :    221: чистый
cabin            :    220: кабина, хижина
moan             :    220: стонать, стон
pry              :    220: подглядывать, рычаг
winter           :    220: зима, зимний
accident         :    219: авария, случайность, аварийный
alley            :    219: аллея
endless          :    219: бесконечный
secure           :    219: обеспечивать, закреплять, безопасный
telephone        :    219: комм)звонить, телефон, телефонный
earnest          :    218: серьезный, задаток
flora            :    218: флора
flutter          :    218: развеваться, дрожание
frank            :    218: откровенный
rare             :    218: редкий
arise            :    217: возникать
blade            :    217: насаживать лопасть(лезвие), лопасть(лезвие)
despair          :    217: отчаяние
painful          :    217: болезненный
mum              :    216: мама
portrait         :    216: портрет, портретный
shame            :    216: стыд, позор
skull            :    216: череп
solemn           :    216: торжественный
troll            :    216: распевать, тролль
abyss            :    215: пучина
blank            :    215: пробел, бланк, чистый, пустой
brilliant        :    215: блестящий
hospital         :    215: больница
passion          :    215: страсть
paw              :    215: копать, лапа
sunset           :    215: заход солнца
unfortunate      :    215: неудачный
argue            :    214: доказывать, спорить
display          :    214: отображать, показ, инф)дисплей, дисплейный
emotion          :    214: чувство, волнение
infinite         :    214: бесконечный
rank             :    214: ранжировать, ранг, ранговый
remote           :    214: дистанционный
admire           :    213: восхищаться
contact          :    213: обращаться к, контакт, контактный
curve            :    213: изгибать, кривая
depart           :    213: уезжать
forever          :    213: навсегда
hero             :    213: герой
intelligence     :    213: интеллект, воен)разведка
meanwhile        :    213: тем временем
ordinary         :    213: обычный
